Model,Sample,Strategy,f1_phi,prec_phi,rec_phi,Weighted_MAE,MAE,RMSE,Tail_MAE,Tail_RMSE,tail_n
LightGBM,0_25,WERCS,0.7716,0.7631,0.7803,27.843,20.2332,50.1533,117.3575,177.6013,425862.0
LightGBM,0_5,Baseline,0.8021,0.854,0.7561,27.0619,14.39,52.7464,140.6318,192.8538,425862.0
LightGBM,0_5,GaussNoise,0.8138,0.8527,0.7783,26.4218,15.1463,51.5688,133.7163,188.3512,425862.0
LightGBM,0_5,RO,0.8103,0.8403,0.7823,26.1919,15.468,51.0744,130.504,186.2923,425862.0
LightGBM,0_5,RU,0.8093,0.8496,0.7727,26.4627,14.7701,51.8221,135.5408,189.5561,425862.0
LightGBM,0_5,SMOTER,0.8049,0.8476,0.7662,26.7121,14.6084,52.1638,137.7168,190.8828,425862.0
LightGBM,0_5,WERCS,0.7723,0.7641,0.7807,27.8378,20.2172,50.1579,117.418,177.6395,425862.0
LightGBM,1_0,Baseline,0.8026,0.8551,0.7561,27.0552,14.3886,52.7414,140.5735,192.8224,425862.0
LightGBM,1_0,GaussNoise,0.8144,0.854,0.7784,26.4436,15.1551,51.587,133.8544,188.4381,425862.0
LightGBM,1_0,RO,0.8138,0.8483,0.7821,26.319,15.4532,51.245,131.5718,186.9678,425862.0
LightGBM,1_0,RU,0.8101,0.8499,0.7739,26.3822,14.7709,51.7279,134.9836,189.1964,425862.0
LightGBM,1_0,SMOTER,0.806,0.8494,0.7668,26.6768,14.6038,52.1446,137.5262,190.7932,425862.0
RandomForest,0_01,Baseline,0.8186,0.8316,0.806,29.0359,21.3582,50.2315,121.6606,179.7378,425862.0
RandomForest,0_01,GaussNoise,0.6885,0.6461,0.7368,32.4552,27.2046,51.2962,112.6455,173.7787,425862.0
RandomForest,0_01,RO,0.6089,0.5462,0.6879,33.3322,28.8189,51.631,107.2483,170.3447,425862.0
RandomForest,0_01,RU,0.6979,0.6579,0.7431,32.2048,26.9348,51.1315,111.7723,173.273,425862.0
RandomForest,0_01,SMOTER,0.7112,0.675,0.7514,31.4603,25.9321,50.7451,112.0344,173.4139,425862.0
RandomForest,0_01,WERCS,0.3103,0.237,0.4492,39.7598,37.6182,55.8218,95.6743,162.9156,425862.0
RandomForest,0_05,Baseline,0.8148,0.8241,0.8057,28.5815,20.9558,49.9174,119.9657,178.6209,425862.0
RandomForest,0_05,GaussNoise,0.6949,0.6535,0.7418,31.9126,26.6128,50.9528,111.1752,172.8179,425862.0
RandomForest,0_05,RO,0.6321,0.5737,0.7038,32.6456,28.0414,51.158,105.4315,169.0918,425862.0
RandomForest,0_05,RU,0.6947,0.6527,0.7425,31.6396,26.3609,50.7601,110.0674,172.1516,425862.0
RandomForest,0_05,SMOTER,0.7305,0.7005,0.7633,30.5035,24.6996,50.228,110.8967,172.6807,425862.0
RandomForest,0_05,WERCS,0.3319,0.2562,0.4709,39.2586,37.0281,55.537,93.6016,161.4464,425862.0
RandomForest,0_1,Baseline,0.813,0.8204,0.8057,28.2936,20.717,49.6922,118.607,177.725,425862.0
RandomForest,0_1,GaussNoise,0.6966,0.6555,0.7432,31.6723,26.3564,50.7933,110.2585,172.2162,425862.0
